run,voltage_V,threshold_mV,raw_events,photopeak_events,retained_percent,raw_count_source,photopeak_count_source
Run4240,42.0,40.0,79127,11514,14.551290962629697,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4340,43.0,40.0,84586,11470,13.560163620457287,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4440,44.0,40.0,90229,11554,12.80519566879828,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4540,45.0,40.0,96008,11552,12.032330639113407,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4541,45.0,40.0,96001,11658,12.143623503921834,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4620,46.0,20.0,49348,5793,11.739077571532787,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4630,46.0,30.0,49688,5909,11.892207374013847,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4640,46.0,40.0,49952,5989,11.989509929532352,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4642,46.0,40.0,101150,11766,11.632229362333169,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4644,46.0,40.0,100916,11847,11.73946648697927,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4650,46.0,50.0,50245,5931,11.804159617872426,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4660,46.0,60.0,50271,5800,11.5374669292435,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4670,46.0,70.0,50410,5981,11.864709383058917,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4740,47.0,40.0,104916,11881,11.324297533264707,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4840,48.0,40.0,107613,12182,11.320193656900189,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
Run4940,49.0,40.0,111406,12434,11.160978762364683,energy_selection.csv:row_count,energy_selection.csv:sum(duration_selected)
